date,title,source,contents,link
2주 전,"ESPN ""말레이와 비기고도 웃은 클린스만, 여론 부정적"" [아시안컵]",뉴스1,글로벌 스포츠매체 ESPN이 64년 만에 아시안컵 우승을 목표로 내건 위르겐 클린스만 감독의 발언을 회의적으로 바라봤다. 최근 한국 내 부정적인 여론까지 더해져 만약 사우디아라비아에 패할 경우 잃을 것이 많다고 우려했다. 클린스만 감독이 이끄는 한국 축구대표팀은 31일 오전 1시(이하 한국시간) 카타르...,https://www.news1.kr/articles/5306496
2주 전,"""실점할 것 같았어."" 클린스만 그 웃음의 이유 [풀버전]",YTN,"31일 01시(한국시간), 아시안컵 16강 사우디아라비아와의 경기를 앞두고 클린스만 축구 대표팀 감독이 공식 기자회견에 나섰습니다. 클린스만 감독은 말레이시아전 졸전에 대해 일본을 피하기 위한 것이 아니었다며 사우디아라비와의 경기에 최선을 다할 것이라 밝혔습니다. #클린스만...",https://www.ytn.co.kr/_ln/0107_202401301139010126
2주 전,[밀물썰물] 벤치 데우는 클린스만,부산일보언론사 선정,아시안컵을 통해 드러난 위르겐 클린스만 국가대표 감독의 모습을 보면 너무나 실망스럽다. 빈약한 전술로 팬들의 비판을 받고 있는 클린스만 감독은 조별 리그 마지막 경기에선 열정마저도 보여주지 못했다. 경기 중 가끔 일어나 테크니컬 에어리어 쪽으로 갔지만 작전을 지시하는 모습은 좀처럼 볼 수...,https://www.busan.com/view/busan/view.php?code=2024012917520370657
2주 전,"[아시안컵] 클린스만, 사우디전서 스리백 가동…손흥민 원톱 나설듯",연합뉴스,"64년 만의 아시안컵 우승에 도전하는 클린스만호가 첫 고비인 사우디아라비아전에서 스리백 수비 전술을 가동한다. 31일 오전 1시(한국시간) 카타르... 클린스만호 출범 이후 처음으로 가동되는 스리백 선발 라인업이다. 설영우(울산)가 왼쪽 수비수로 나서고, 오른쪽 수비는 김태환(전북)이 맡는다. 앞선...",https://www.yna.co.kr/view/AKR20240130171800007?input=1195m
2주 전,이름값·연봉 최상위의 격돌…클린스만 vs 만치니 대결 '관심',뉴시스,"위르겐 클린스만(독일) 한국 감독과 로베르토 만치니(이탈리아) 사우디 감독의 맞대결이 관심이다. 한국은 오는 31일 오전 1시(한국시간) 카타르... 감독으로서의 지도력은 다소 떨어질 수 있으나, 명성과 연봉 부문에서는 클린스만 감독도 만치니 감독에게 밀리지 않는다. 클린스만 감독은 현역 시절 세계를...",http://www.newsis.com/view/?id=NISX20240129_0002608435&cID=10503&pID=10500
2주 전,"클린스만 감독 ""사우디전 부담 없어...내 목표는 뚜렷하다""",이데일리,위르겐 클린스만 감독이 29일(현지시간) 공식 기자회견을 위해 카타르 도하 메인미디어센터(MMC)에 들어서고 있다. 사진=연합뉴스 “경기 결과 안좋으면 그때 호텔 예약 취소하면 된다. 하지만 부담은 없고 내 목표는 뚜렷하다” 위르겐 클린스만 한국 축구 대표팀 감독이 사우디아라비아와 2023 아시아축구연맹...,http://starin.edaily.co.kr/news/newspath.asp?newsid=01377606638762640
2주 전,클린스만 “우승에 굶주렸다”,서울신문,내일 좋은 경기가 되도록 준비하겠다.” 위르겐 클린스만 한국 축구 대표팀 감독은 아시아축구연맹(AFC) 카타르 아시안컵 사우디아라비아와의 16강전... 사우디를 만난 소감으로 클린스만 감독은 “토너먼트 첫 경기를 빨리하고 싶다. 사우디라는 강팀을 상대로 좋은 경기를 보여주겠다”고 다짐했다....,https://www.seoul.co.kr/news/newsView.php?id=20240130023005&wlog_tag3=naver
2주 전,"클린스만, 14경기동안 한번도 안해본 '3백' 사우디전에 쓴다[라인업 분석]",스포츠한국,"조별리그 3경기에서 6실점의 불안한 수비를 위한 선택으로 보이는데 클린스만의 이 급격한 전술 변화가 묘수가 될지, 아니면 자충수가 될지 지켜볼 일이다. 위르겐 클린스만 감독이 이끄는 한국 남자 축구 대표팀은 31일(이하 한국시각) 오전 1시 카타르 알라이얀의 에듀케이션 시티 스타디움에서 2023...",https://sports.hankooki.com/news/articleView.html?idxno=6852781
2주 전,"'민재-영권-승현' 클린스만, 파격 스리백 가동...'손톱' 출격→조규성 벤치[오...",OSEN,위르겐 클린스만 감독이 '깜짝 스리백' 카드를 꺼내 들었다. 위르겐 클린스만 감독이 이끄는 대한민국 축구대표팀은 31일 오전 1시(이하 한국시간) 카타르 알라이얀 에듀케이션 시티 스타디움에서 열리는 2023 아시아축구연맹(AFC) 아시안컵 16강에서 사우디아라비아와 맞붙는다. 한국은 조별리그에서 1승 2무를...,http://www.osen.co.kr/article/G1112265924
2주 전,"'64년 만의 아시안컵 우승 도전' 클린스만호, 내일 사우디와 첫 경기",뉴시스,64년 만의 아시안컵 우승에 도전하는 클린스만호가 내일 새벽 사우디아라비아와 '2023 아시아축구연맹(AFC) 아시안컵' 16강전을 치른다. 위르겐 클린스만(독일) 감독이 이끄는 한국 남자 축구 대표팀은 오는 31일 오전 1시(한국시간) 카타르 알라이얀의 에듀케이션 시티 스타디움에서 사우디와 아시안컵 16강전을...,http://www.newsis.com/view/?id=NISX20240130_0002609190&cID=10503&pID=10500
