date,title,source,contents,link
2주 전,“축구팬들은 클린스만 감독을”…호주가 한국 이길 수 밖에 없는 황당이유,매일경제언론사 선정,이 매체는 세번째 요인으로 한국 대표팀 위르겐 클린스만 감독을 꼽았다. 매체는 “한국에서는 역대 대표팀 사상 최강 선수들로 구성됐지만 클린스만 감독의 전술이 적합하지 않다고 생각하며 한국 사령탑 취임 후 한국에서 보낸 시간이 적다는 불만도 나오고 있다”고 지적했다. 마지막으로 역대 전적에서...,https://www.mk.co.kr/article/10935289
2주 전,"클린스만호, 호주 꺾으면 요르단과 4강전",조선일보,"요르단, 8강전서 타지키스탄 1대0으로 물리쳐 중동 복병 요르단이 2023 아시안컵 돌풍의 팀 타지키스탄을 꺾고 아시안컵 준결승에 올랐다. 요르단은 2일(한국 시각) 카타르 알라이얀 아마드 빈 알리 스타디움에서 열린 AFC(아시아축구연맹) 아시안컵 8강전에서 타지키스탄을 1대0으로 꺾었다. 후반 21분...",https://www.chosun.com/sports/football/2024/02/02/NG3C345QTZA6XIC5CYMQ3OSLSE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
2주 전,"[아시안컵] 또 승부차기 준비하는 클린스만 ""호주전도 전쟁이 될 것""",연합뉴스,""" 위르겐 클린스만 한국 축구 대표팀 감독은 호주와 2023 아시아축구연맹(AFC) 카타르 아시안컵 8강전을 하루 앞둔 1일 카타르 도하의 대회 메인 미디어 센터(MMC)에서 진행된 기자회견에서 이렇게 말했다. 한국은 16강전에서 사우디아라비아와 승부차기까지 가는 혈투를 펼친 끝에 8강에 올랐다. 클린스만 감독은...",https://www.yna.co.kr/view/AKR20240201172100007?input=1195m
2주 전,우승 바라보는 클린스만 감독,뉴스1,=뉴스1) 김성진 기자 = 2023 아시아축구연맹(AFC) 카타르 아시안컵 호주와 8강전을 앞둔 대한민국 축구대표팀 위르겐 클린스만 감독이 1일(현지시간) 카타르 도하 메인미디어센터(MMC)에서 열린 공식 기자회견에 참석해 자리하고 있다. 2024.2.1/뉴스1,https://www.news1.kr/photos/view/?6462957
2주 전,[IS 도하] 한국 약점이 감독이라고? 클린스만 웃으며 “어떤 도발도 상관없다...,일간스포츠,위르겐 클린스만 감독이 호주 매체의 도발에 웃으며 답했다. 클린스만 감독이 이끄는 축구대표팀은 3일 오전 0시 30분(한국시간) 카타르 알와크라의 알자눕 스타디움에서 호주와 2023 아시아축구연맹(AFC) 아시안컵 8강전을 치른다. 경기에 앞서 클린스만 감독은 1일 카타르 도하의 메인 미디어센터에서 “내일...,https://isplus.com/article/view/isp202402010223
2주 전,"클린스만호, 호주전 선발 명단 발표…황희찬 첫 선발",한국경제,"위르겐 클린스만 감독이 이끄는 대한민국 축구대표팀이 한국과 호주의 2023 아시아축구연맹(AFC) 카타르 아시안컵 8강전을 앞두고 2일 출전 명단을 공개했다. 클린스만 감독은 4-4-2 전형을 내세웠다. 조현우가 골문을 지키고, 설영우, 김민재, 김영권, 김태환이 수비를 맡는다. 중원에서는 황희찬, 박용우...",https://www.hankyung.com/article/2024020213417
2주 전,"결전의 날 밝았다…클린스만호, 호주와 8강 맞대결",뉴시스,"위르겐 클린스만(독일) 감독이 이끄는 한국 축구 대표팀이 호주와 '2023 아시아축구연맹(AFC) 아시안컵' 8강전을 치른다. 한국은 오는 3일 오전 0시30분(한국시간) 카타르 알와크라의 알자누브 스타디움에서 호주와 아시안컵 8강전을 소화한다. 클린스만호가 이날 경기서 승리하면, 오는 7일 오전 0시 타지키스탄...",http://www.newsis.com/view/?id=NISX20240202_0002614096&cID=10503&pID=10500
2주 전,8강 공식기자회견 참석...클린스만·조규성의 각오는?,YTN,"클린스만 감독과 조규성 선수 각오가 궁금한데요. [기자] 네, 말씀대로 공식 기자회견이 조금 전 진행됐습니다. 클린스만 감독과 조규성 선수가 참석했는데요. 클린스만 감독은 호주전 전망에 대해 아주 어려운 경기가 예상된다면서도 우리는 준비됐고, 기대가 많이 된다고 밝혔습니다. 먼저 들어보시겠습니다....",https://www.ytn.co.kr/_ln/0107_202402012002504383
2주 전,[스포츠머그] 통계로 본 아시안컵…답답한 경기력에 비해 좋은 클린스만호의 ...,SBS,클린스만 감독이 이끄는 우리 축구대표팀이 아시안컵 8강 호주와의 결전을 앞두고 있는 가운데 축구 통계 업체 '폿몹(FotMob)'이 내놓은 기록들을 〈스포츠머그〉에서 정리했습니다.,https://news.sbs.co.kr/news/endPage.do?news_id=N1007523103&plink=ORI&cooper=NAVER
2주 전,“한국 약점은 감독” 호주의 도발에 클린스만 감독의 대응은?,파이낸셜뉴스언론사 선정,"그중에 하나가 바로 클린스만 감독이었다. 해당 매체는 한국의 약점으로 클린스만 감독의 역량을 지적했다. 시드니모닝헤럴드는 “한국에서는 역대 대표팀 사상 가장 재능이 뛰어난 '황금 세대' 선수들이 뛰고 있는 시기를 허비하고 있다는 우려가 널리 퍼져 있다”며 ""한국 축구 팬들은 클린스만 감독의 전술이...",http://www.fnnews.com/news/202402020210326263
2주 전,"“체력부터 클린스만 리스크까지”…호주, ‘한국 꺾을 4가지 이유’ 도발",매일경제언론사 선정,"매체는 “한국 축구 팬들은 클린스만 감독의 전술이 대표팀에 적합하지 않다고 생각하며, 한국 사령탑 취임 후 한국에서 보낸 시간이 적다는 불만도... 한편, 축구 통계·기록 전문 매체 옵타는 1일(한국시간) 클린스만호가 8강전에서 호주를 꺾을 확률이 47.3％라고 분석했다. 한국의 호주전 승률은 8강 대진이...",https://www.mk.co.kr/article/10934809
2주 전,[스포츠머그] 통계로 본 아시안컵…답답한 경기력에 비해 좋은 클린스만호의 ...,SBS,클린스만 감독이 이끄는 우리 축구대표팀이 아시안컵 8강 호주와의 결전을 앞두고 있는 가운데 축구 통계 업체 '폿몹(FotMob)'이 내놓은 기록들을 〈스포츠머그〉에서 정리했습니다.,https://news.sbs.co.kr/news/endPage.do?news_id=N1007523103&plink=ORI&cooper=NAVER
2주 전,클린스만호 8강 호주전 승리 확률은…통계업체 암울한 분석,중앙일보언론사 선정,축구 통계 전문 매체 옵타는 31일(한국시간) 위르겐 클린스만(독일) 감독이 이끄는 한국이 아시안컵 8강전에서 호주를 꺾을 확률이 47.6％에... 호주는 클린스만호에 비해 유리한 부분도 있다. 바로 회복 시간이다. 호주는 지난 28일 16강전을 치러서 8강전까지 4일간 휴식을 취할 수 있다. 반면 한국은 31일...,https://www.joongang.co.kr/article/25226154
2주 전,"[아시안컵] 또 승부차기 준비하는 클린스만 ""호주전도 전쟁이 될 것""",연합뉴스,""" 위르겐 클린스만 한국 축구 대표팀 감독은 호주와 2023 아시아축구연맹(AFC) 카타르 아시안컵 8강전을 하루 앞둔 1일 카타르 도하의 대회 메인 미디어 센터(MMC)에서 진행된 기자회견에서 이렇게 말했다. 한국은 16강전에서 사우디아라비아와 승부차기까지 가는 혈투를 펼친 끝에 8강에 올랐다. 클린스만 감독은...",https://www.yna.co.kr/view/AKR20240201172100007?input=1195m
2주 전,"외신들, 호주전 '클린스만호 패배' 예상…1-2로 탈락 점쳐",뉴시스,위르겐 클린스만(독일) 감독이 이끄는 한국 축구 대표팀이 호주와의 8강전에서 패배할 거라는 외신들의 예측이 나왔다. 정규 시간 패배 혹은 승부차기 끝에 탈락을 점쳤다. 클린스만호는 오는 3일 오전 0시30분(한국시간) 카타르 알와크라의 알자누브 스타디움에서 호주와 '2023 아시아축구연맹(AFC)...,http://www.newsis.com/view/?id=NISX20240202_0002615458&cID=10503&pID=10500
2주 전,“한국 약점은 감독” 호주의 도발에 클린스만 감독의 대응은?,파이낸셜뉴스언론사 선정,"그중에 하나가 바로 클린스만 감독이었다. 해당 매체는 한국의 약점으로 클린스만 감독의 역량을 지적했다. 시드니모닝헤럴드는 “한국에서는 역대 대표팀 사상 가장 재능이 뛰어난 '황금 세대' 선수들이 뛰고 있는 시기를 허비하고 있다는 우려가 널리 퍼져 있다”며 ""한국 축구 팬들은 클린스만 감독의 전술이...",http://www.fnnews.com/news/202402020210326263
2주 전,"“도발 더 해봐” 클린스만·“그땐 내가 없었지” 조규성, 일단 기 싸움은 승...",이데일리,카타르 도하 메인미디어센터(MMC)에서 위르겐 클린스만 감독과 조규성이 공식 기자회견을 하고 있다. 사진=연합뉴스 카타르 도하 메인미디어센터(MMC)... 위르겐 클린스만 감독이 이끄는 대한민국 축구 대표팀은 오는 3일 오전 0시 30분(한국시간) 카타르 알와크라의 알자눕 스타디움에서 호주를 상대로 2023...,http://starin.edaily.co.kr/news/newspath.asp?newsid=01272646638786584
2주 전,기자회견하는 위르겐 클린스만 감독과 조규성,뉴시스,위르겐 클린스만 대한민국 축구 국가대표팀 감독이 1일(현지시간) 카타르 도하 메인 미디어센터에서 호주와 아시안컵 8강전을 하루 앞두고 열린 공식 기자회견에서 취재진 질문에 답하고 있다. 2024.02.01. ks@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이...,http://www.newsis.com/view/?id=NISI20240201_0020217928
2주 전,일본 피하려고 일부러 비겼다?... 클린스만의 미소가 부른 의심과 음모론 [여...,한국일보언론사 선정,"위르겐 클린스만 감독을 몰아붙였다. 사우디 기자는 ""일본을 피하는 데 성공했다. 말레이시아가 3번째 득점했을 때 웃었는데, 사우디는 아시안컵에서 우승을 3회 한 강팀이다. 왜 미소를 지었나?""라고 물었다. 사실 국내에서도 클린스만 감독의 미소에 대해선 논란이 있다. 경기에 져도 웃고, 골을 먹어도 웃는...",https://www.hankookilbo.com/News/Read/A2024020113010002116?did=NA
2주 전,"호주와 벼랑 끝 '정면승부'…클린스만호, 오늘밤 운명의 8강전",뉴시스,위르겐 클린스만(독일) 감독이 이끄는 한국 축구 대표팀이 호주와 '2023 아시아축구연맹(AFC) 카타르 아시안컵' 4강 진출을 놓고 일전을 벌인다. 한국은 오는 3일 새벽 0시30분(한국시간) 카타르 알와크라에 있는 알자누브 스타디움에서 호주와 대회 8강전을 치른다. 더 이상 물러설 곳 없는 벼랑 끝...,http://www.newsis.com/view/?id=NISX20240202_0002615258&cID=10503&pID=10500
2주 전,"[영상] ""한국이 질 것 같은 이유가 감독님 존재라던데""…도발성 질문에 클린스...",SBS,"오늘(2일) 아시안컵 8강 호주전을 앞두고 대한민국 축구대표팀의 공식 기자회견이 열렸습니다. 회견장엔 클린스만 감독과 조규성 선수가 참석했습니다. 두 사람은 각각 도발적인 질문을 받기도 했는데요. 웃음을 잃지 않는 두 사람이 돌직구 질문에 임하는 자세, 경기 전 기자회견 영상을 준비했습니다.",https://news.sbs.co.kr/news/endPage.do?news_id=N1007522957&plink=ORI&cooper=NAVER
2주 전,"[사진]클린스만 감독, 차두리 코치와 함께",OSEN,대한민국 축구대표팀이 2023 아시아축구연맹(AFC) 카타르 아시안컵 호주와의 8강전을 하루 앞두고 1일(현지시간) 카타르 도하 알 에글라 트레이닝 센터에서 훈련을 가졌다. 클린스만 감독과 차두리 코치가 훈련에 앞서 이야기를 나누고 있다. 2024.02.01 / jpnews.osen.co.kr,http://www.osen.co.kr/article/G1112267652
2주 전,"‘손흥민·황희찬 선발’ 클린스만호, 호주전 선발 라인업 발표 [아시안컵]",이데일리,클린스만호가 호주를 상대로 아시안컵 4강 진출을 노린다. 사진=연합뉴스 4강으로 가는 길목에서 호주를 만난 클린스만호가 설욕을 노린다. 위르겐 클린스만 감독이 이끄는 대한민국 축구 대표팀은 오는 3일 오전 0시 30분(한국시간) 카타르 알와크라의 알자눕 스타디움에서 호주를 상대로 2023...,http://starin.edaily.co.kr/news/newspath.asp?newsid=01505526638786584
2주 전,"황희찬 첫 선발!…'백4 복귀' 클린스만호, 호주전 선발 명단 발표 [현장 라인...",엑스포츠뉴스,"위르겐 클린스만 감독이 이끄는 대한민국 축구대표팀이 황희찬(울버햄프턴 원더러스)를 앞세워 8강 진출을 노린다. 대한민국 축구대표팀은 오는 3일... 클린스만 감독은 4-4-2 전형을 내세웠다. 조현우가 골문을 지키고, 설영우, 김민재, 김영권, 김태환이 백4를 구성한다, 중원은 황희찬, 박용우, 황인범...",https://www.xportsnews.com/article/1820499
2주 전,"'클린스만호 8강 상대' 호주, 경계해야 할 주요 선수는?",뉴시스,위르겐 클린스만(독일) 감독이 이끄는 한국 축구 대표팀이 호주와 '2023 아시아축구연맹(AFC) 아시안컵' 8강전을 치른다. 클린스만호는 오는 3일 오전 0시30분(한국시간) 카타르 알와크라의 알자누브 스타디움에서 호주와 아시안컵 8강전을 소화한다. 선수단 명성을 고려하면 한국의 어렵지 않은 승리가 예상된다....,http://www.newsis.com/view/?id=NISX20240202_0002614098&cID=10503&pID=10500
2주 전,"역대 4번째 '두 대륙 우승' 도전, 클린스만 감독만 기회 잡았다[아시안컵]",뉴스1,이제 위르겐 클린스만 한국 축구대표팀 감독이 유일하게 역대 3명이 달성한 대기록에 도전한다. 클린스만 감독이 이끄는 한국 축구대표팀은 3일 오전 0시30분(이하 한국시간) 카타르 알와크라의 알자눕 스타디움에서 호주와 아시안컵 8강전을 치른다. 지난 1960년 우승 이후 64년 동안 준우승만 4차례에...,https://www.news1.kr/articles/5309269
