date,title,source,contents,link
4일 전,"클린스만, 경기도 선수 관리도 ‘허술’…‘경질’ 코너 몰렸다",세계일보언론사 선정,"2023 아시아축구연맹(AFC) 아시안컵 4강 탈락 여파로 위르겐 클린스만 축구 국가대표팀 감독 경질 여론이 거센 가운데, 선수 관리에도 허점을 드러냈다는 평가가 나오는 등 아시안컵 관련 파문이 일파만파로 번지고있다. 대한축구협회 임원들은 정몽규 회장에게 위르겐 클린스만 감독을 경질하라고 건의한 것으로...",http://www.segye.com/newsView/20240214511096?OutUrl=naver
4일 전,"“손흥민·이강인 갈등”에 클린스만, SNS에 남긴 의미심장한 글 재조명",조선일보언론사 선정,"한국 축구 대표팀 주장 손흥민(32·토트넘)이 아시안컵 준결승전 요르단과의 경기를 앞두고 젊은 선수들과 다투다 손가락이 탈구됐다고 대한축구협회가 인정한 가운데, 위르겐 클린스만 감독이 요르단전 패배 후 남긴 글이 다시금 주목받고 있다. 클린스만 감독은 지난 7일(한국시각) 아시안컵 준결승전에서 0대2로...",https://www.chosun.com/international/international_general/2024/02/14/PN4QQFRGKRDHFF7YGFUWEQTJFA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
3일 전,"이강인 ""형들 따랐어야 했는데…"" 주먹질 논란에 입 열었다",한국경제언론사 선정,"이 사건에 고참급 선수들은 위르겐 클린스만 축구대표팀 감독을 찾아가 요르단전에 이강인을 제외해 달라고 요청한 것으로 전해졌다. 그러나 클린스만 감독은 이강인을 제외하지 않았다. 이런 팀 분위기는 경기에도 나타났다. 손흥민과 이강인은 앞선 조별리그 3경기, 토너먼트 2경기에서와 마찬가지로...",https://www.hankyung.com/article/2024021439587
4일 전,"손흥민 멱살잡자 이강인 주먹질…클린스만號, 선수 관리도 '낙제점'",헤럴드경제언론사 선정,"위르겐 클린스만 감독이 이끈 한국 축구 대표팀이 '전술 부재'로 비판받는 가운데, 선수단 관리도 제대로 못 한 것으로 드러났다. 클린스만 감독이 이끈 한국 축구 대표팀은 지난 10일 폐막한 2023 아시아축구연맹(AFC) 카타르 아시안컵에서 요르단에 0-2 충격패를 당하며 준결승에서 탈락했다. 이런 와중에 14일...",http://news.heraldcorp.com/view.php?ud=20240214050562
4일 전,"홍준표 ""무능 클린스만이 나라 깔봐…정몽규 협회장 사퇴해야""",연합뉴스언론사 선정,"그는 클린스만 감독에 대해선 ""해임 안 하면 앞으로 국가대표 경기 안 본다""며 ""일개 무능한 감독 하나가 이 나라를 깔보고 나라의 국격을 무너트리는... 홍 시장은 축구 국가대표팀이 2023 아시아축구연맹(AFC) 아시안컵 4강에서 탈락한 지난 7일 이후 여러 차례 클린스만 해임 등을 촉구하는 글을 올렸다.",https://www.yna.co.kr/view/AKR20240214151000053?input=1195m
4일 전,“‘클린스만 사퇴’ 임원 뜻모여…정몽규 ‘명분’ 고민중”,국민일보언론사 선정,대한축구협회 임원진이 축구대표팀 위르겐 클린스만 감독의 거취를 두고 ‘경질’ 쪽으로 가닥을 잡은 것으로 전해졌다. 정몽규 회장의 결단만 남은 상황이다. 클린스만 감독의 거취 문제를 놓고 전날 소집된 축구협회 임원회의에서 선수 출신 협회 부회장과 임원들이 경질 쪽으로 뜻을 모았다고 14일 YTN이...,https://www.kmib.co.kr/article/view.asp?arcid=0019161355&code=61121111&cp=nv
4일 전,‘클린스만 덫’에서 축협 허우적… 정몽규 고발당했다,국민일보언론사 선정,클린스만 감독은 돌연 미국으로 갔다. 대한축구협회 수장인 정몽규 회장은 수습은커녕 두문불출하고 있다. 아시안컵 우승 실패의 후폭풍이 점점 거세지는데도 아무도 책임을 지지 않는 모습이다. 협회는 13일 서울 종로구 축구회관에서 김정배 상근부회장 주재로 경기인 출신 비공개 임원 회의를 열고 클린스만...,https://www.kmib.co.kr/article/view.asp?arcid=0924343882&code=11131100&cp=nv
4일 전,[단독]“지도자 후보군은 이미 있다” 축협 클린스만 출구전략 준비됐나?,스포츠경향,위르겐 클린스만 축구대표팀 감독(60)의 경질 여부가 초미의 관심사인 가운데 대한축구협회가 출구 전략도 준비된 것으로 드러났다. 대한축구협회의 한 고위 관계자는 최근 기자와 통화에서 “클린스만 감독을 경질할지 여부는 아직 모른다”면서도 “감독이 우리의 기대에 미치지 못할 경우를 대비하는...,http://sports.khan.co.kr/news/sk_index.html?art_id=202402140836003&sec_id=520101&pt=nv
5일 전,"클린스만 연봉 29억·위약금 70억…""정몽규 배임"" 고발당했다",뉴스1언론사 선정,"위르겐 클린스만 축구 대표팀 감독에 대한 경질 여론이 커지고 있는 가운데, 한 시민단체가 정몽규 대한축구협회장을 고발했다. 서민민생대책위원회(서민위)는 13일 오전 서울경찰청에 정 회장을 강요, 업무방해, 업무상 배임 등 혐의로 고발했다고 밝혔다. 클린스만 감독을 일방적으로 임명해 협회 관계자에게...",https://www.news1.kr/articles/5318931
5일 전,"클린스만 감독 거취 놓고 온 나라 떠들썩… ""미국에서 오지마라""",세계일보언론사 선정,‘2023 카타르 아시안컵’에서 우승에 실패한 위르겐 클린스만 대표팀 감독의 거취를 놓고 온 나라가 떠들썩하다. 정몽규 대한축구협회장이 시민단체에 고발당하는가 하면 축구협회 ‘경기인 출신’ 임원들이 클린스만 감독의 거취를 논의하기 시작했다. 정치권도 클린스만 감독을 경질해야 한다고 목소리를...,http://www.segye.com/newsView/20240213511912?OutUrl=naver
