date,title,source,contents,link
2일 전,[단독] 클린스만 “전력강화위 통보 못 받아 출국”…뮐러 “인맥 넓은 클린스...,세계일보언론사 선정,"위르겐 클린스만 한국 축구대표팀 감독이 2024 아시아축구연맹 아시안컵 종료 뒤 ‘전력강화위원회’ 개최 여부에 대한 통보조차 받지 못한 것으로 알려졌다. 대표팀에서 균열이 일어나자 클린스만 감독은 이 문제 해결이 급하다고 판단해 휴식 후 유럽으로 갈 계획을 세웠지만, 축구협회는 출국하는 클린스만...",http://www.segye.com/newsView/20240216505345?OutUrl=naver
2일 전,클린스만 대표팀 감독 ‘경질 확정’,서울신문언론사 선정,대한축구협회(KFA)가 위르겐 클린스만 대한민국 축구대표팀 감독을 경질했다. 정몽규 축구협회장은 16일 서울 종로구 축구회관에서 긴급 임원회의를 연 뒤 기자회견을 갖고 클린스만 감독 경질을 공식 발표했다. 정 회장은 “축구대표팀을 운영하는 조직의 수장으로 저와 대한축구협회에 가해지는 비판을...,https://www.seoul.co.kr/news/newsView.php?id=20240216500115&wlog_tag3=naver
2일 전,클린스만 감독 결국 교체…축구협회장은? [오늘 이슈],KBS언론사 선정,"위르겐 클린스만 축구대표팀 감독이 결국 해임됐습니다. 대한축구협회는 오늘 긴급 임원회의를 열고, 클린스만 감독을 경질하기로 했다고 밝혔습니다. 어제 축구대표팀 전력강화위원회는 아시안컵에서 드러난 경기력 저하에 대한 책임으로 클린스만 감독을 경질할 것을 축구협회에 건의했습니다. 최종...",https://news.kbs.co.kr/news/pc/view/view.do?ncd=7891920&ref=A
2일 전,"클린스만, 11개월 만에 한국 대표팀 떠난다 [종합]",한국경제언론사 선정,"대한축구협회가 위르겐 클린스만(독일) 국가대표팀 감독을 교체하기로 확정했다. 정몽규 대한축구협회장은 16일 서울 종로구 축구회관에서 ""임원... 국가대표팀 운영에 대한 협회 자문 기구인 국가대표 전력강화위원회는 전날 감독 교체를 건의했고 이날 회의에서 임원들은 클린스만 감독과의 결별을 결정해...",https://www.hankyung.com/article/2024021689367
2일 전,"[현장영상+] 정몽규 ""클린스만 감독 선임 과정에 대한 오해 있는 것 같아""",YTN언론사 선정,"축구협회가 위르겐 클린스만 감독에게 경질을 통보했습니다. 정몽규 회장이, 클린스만 축구대표팀 감독 거취를 논의한 임원회의 결과를 곧 브리핑하는데요. 정 회장의 발표 현장으로 가보겠습니다. [정몽규 / 대한축구협회장] 대한축구협회장 정몽규입니다. 먼저 이번 카타르 아시안컵에서 기대에 미치지 못한...",https://www.ytn.co.kr/_ln/0103_202402161423435174
2일 전,"클린스만, 미국서도 80억 ‘꿀꺽’…8년전 경질 때도 위약금 쏠쏠",헤럴드경제언론사 선정,"위르겐 클린스만(독일) 국가대표팀 감독의 거취에 이목이 쏠린 가운데, 과거 미국 대표팀 감독에서 경질될 때 챙긴 위약금 액수가 다시금 화제다.... 15일 대한축구협회 국가대표 전력강화위원회는 서울 종로구 축구회관에서 2023 아시아축구연맹(AFC) 아시안컵 결과 등을 논의하고, 클린스만 감독이...",http://news.heraldcorp.com/view.php?ud=20240216050173
2일 전,클린스만 1년만에 결국 경질…정몽규 “국민 기대 못미쳐”,동아일보언론사 선정,대한축구협회가 16일 위르겐 클린스만 축구대표팀 감독에게 경질을 통보했다. 지난해 2월 27일 클린스만 감독을 선임했다고 발표한 지 1년이 채 지나지 않아서다. 정몽규 대한축구협회장은 기자회견을 열어 “클리스만 감독은 감독으로서의 경쟁력과 태도가 국민의 기대치와 정서에 미치지 못했다”고 경질...,https://www.donga.com/news/Society/article/all/20240216/123551679/1
2일 전,"대한축구협회, 클린스만 경질…부임 1년도 안 돼 하차",채널A언론사 선정,"대한축구협회가 16일 위르겐 클린스만 감독에게 경질을 통보했습니다. 축구협회는 이날 정몽규 회장 등 주요 임원진이 참석한 가운데, 오전 10시부터 약 2시간30분 동안 국가대표팀 사안 관련 회의를 진행했습니다. 이번 회의는 전날 협회 대한축구협회 내 자문기구인 국가대표전력강화위원회가 클린스만...",https://www.ichannela.com/news/main/news_detailPage.do?publishId=000000393832
2일 전,"클린스만 위약금 100억 원대…정몽규 ""재정적 기여 고민""",TV조선언론사 선정,위르겐 클린스만 축구 국가대표팀 감독이 16일 경질되면서 계약 해지에 따른 보상액을 얼마나 주어야 할까. 지난해 2월 말 대표팀 지휘봉을 잡은 클린스만의 계약 기간은 2026년 6~7월 예정된 북중미 월드컵 본선까지였다. 계약에는 경질 시 잔여 연봉을 지급한다는 조항이 들어간 것으로 알려졌다. 해외 언론을...,https://news.tvchosun.com/site/data/html_dir/2024/02/16/2024021690104.html
1일 전,클린스만 결국 경질‥정몽규 회장은 그대로?,MBC언론사 선정,"◀ 앵커 ▶ 아시안컵 이후 사퇴 요구가 이어졌던 축구대표팀의 클린스만 감독이 결국 취임 1년 만에 경질이 됐습니다. 아시안컵에서 보여준 기대 이하의... 협회 수뇌부는 2시간 반 동안의 회의 끝에 결국 클린스만 감독을 경질했습니다. [정몽규/대한축구협회장] ""클린스만 감독은 감독으로서의 경쟁력과 태도가...",https://imnews.imbc.com/replay/2024/nwdesk/article/6571881_36515.html
