date,title,source,contents,link
7시간 전,"클린스만 ""경기만 보면 최고"" 수석코치 ""손흥민·이강인이 박살내""",중앙일보언론사 선정,위르겐 클린스만(감독)의 적반하장이 이어지고 있다. 함께 한 코칭스태프도 축구대표팀 경기력 부진의 원인을 선수에게 돌리며 ‘남 탓’을 했다. 독일 시사매체 슈피겔은 18일 “한국축구대표팀 사령탑에서 최근 물러난 위르겐 클린스만(독일) 감독이 ‘스포츠적인 측면으로만 보자면 (한국축구대표팀 재임...,https://www.joongang.co.kr/article/25229358
11시간 전,"경질된 클린스만, 독일 언론에 “경기 면에선 최고였다”",조선일보언론사 선정,"아시안컵 4강 탈락 이후 잇단 논란 끝에 결국 한국 축구 국가대표팀 감독에서 해임된 위르겐 클린스만(59)이 대표팀 감독으로서 자신이 낸 기록에 대해 “최고”라고 말했다고 독일 시사매체 슈피겔이 17일(현지시각) 전했다. 보도에 따르면, 클린스만은 이 매체와 통화에서 “스포츠(경기) 측면에서 본다면 이는...",https://www.chosun.com/international/international_general/2024/02/18/AZUBI3ADKZDHFDN2UT2645MJ2I/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
6시간 전,이 돈 다 누가 대나…70억 챙겨 떠나는 클린스만 축구대표팀 감독 [뉴스속인물...,데일리안언론사 선정,위르겐 클린스만 전 한국 축구대표팀 감독이 결국 부임 11개월 만에 지휘봉을 내려놨다. 부임 당시부터 큰 우려를 낳았던 클린스만 감독은 한국 축구 역사상 최단기간 내 경질된 외국인 사령탑이라는 불명예를 안았다. 1964년생인 클린스만 감독은 1981년 독일 슈투트가르트 키커스에 입단해 축구선수 생활을...,https://www.dailian.co.kr/news/view/1329489/?sc=Naver
7시간 전,뮌헨이 축협의 구세주가 될까? 클린스만이 새 감독 후보로 거론,스포츠경향,최근 대한축구협회가 경질한 위르겐 클린스만 축구대표팀 감독(60)이 독일 명문 바이에른 뮌헨의 차기사령탑 후보로 거론되고 있다. 토마스 투헬 뮌헨... 축구전문매체 ‘90min’은 지난 17일 현재 무직인 지도자 7명을 뮌헨의 차기 감독 후보군으로 추리면서 클린스만 감독을 1순위로 제시했다. 클린스만 감독...,http://sports.khan.co.kr/news/sk_index.html?art_id=202402181056003&sec_id=520401&pt=nv
4시간 전,"70억 챙긴 클린스만, SNS서 한국축구 '손절'",MBN언론사 선정,대한민국 축구 국가대표팀 감독에서 경질된 위르겐 클린스만이 SNS에서 한국 축구 관련 계정을 모두 언팔로우했습니다. 정몽규 대한축구협회(KFA) 회장은 지난 16일 서울 종로구 축구회관에서 기자회견을 열고 클린스만 감독의 경질 소식을 발표했습니다. KFA 측은 공식발표 전 클린스만에게 전화로 경질 사실을...,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=5003891
1일 전,"독일 언론 “경질 굴욕, 클린스만은 이제 끝났다”",서울신문언론사 선정,"위르겐 클린스만(독일) 감독이 한국 축구대표팀 사령탑에서 경질되자, 독일 언론도 ‘클린스만의 굴욕’이라며 관련 소식을 발 빠르게 전했다. 현지 유력 언론 빌트는 16일 “클린스만이 굴욕을 당했다”며 대한축구협회가 클린스만 감독을 전격 경질했다고 보도했다. 매체는 “클린스만 감독이 2023...",https://www.seoul.co.kr/news/newsView.php?id=20240217500031&wlog_tag3=naver
1일 전,클린스만의 재테크…“8년전 미국서도 위약금 64억 먹튀”,국민일보언론사 선정,위르겐 클린스만 감독이 임기를 1년도 못 채우고 경질되면서 대한축구협회가 잔여 연봉 지급을 앞둔 가운데 과거 미국 대표팀 감독에서 해임될 때 그가 챙긴 막대한 위약금 액수가 재조명됐다. 17일 축구계 등에 따르면 2011년부터 미국 대표팀 감독을 맡았던 클린스만 감독은 2016년 2018 러시아 월드컵...,https://www.kmib.co.kr/article/view.asp?arcid=0019805527&code=61131111&cp=nv
1일 전,"'70억' 챙긴 클린스만, 경질 즉시 한국축구와 연 끊기 나섰다",중앙일보언론사 선정,위르겐 클린스만 전 축구대표팀 감독이 경질 소식 직후 한국 축구 관련 계정을 모두 언팔로우하는 등 한국과 연 끊기에 나섰다. 정몽규 대한축구협회(KFA) 회장은 지난 16일 서울 종로구 축구회관에서 기자회견을 열고 클린스만 전 감독의 경질 소식을 발표했다. 이후 KFA 측은 공식발표 전...,https://www.joongang.co.kr/article/25229320
6시간 전,"""손흥민·이강인 몸싸움에 몇달 노력 박살나""…코치도 선수 탓",한국경제언론사 선정,위르겐 클린스만과 함께 한국 대표팀을 떠난 수석코치가 손흥민과 이강인 등 축구 국가대표 선수들에게 책임을 돌렸다. 18일(한국시간) 현지 언론에 따르면... 오스트리아 출신인 헤어초크 전 수석코치는 클린스만이 미국 국가대표팀을 맡았을 때도 코치로 클린스만 감독을 보좌한 인물이다. 이후 이스라엘 축구...,https://www.hankyung.com/article/2024021811757
6시간 전,"'위약금 재테크' 클린스만, 광속 연 끊기…""경기력에선 최고"" 자평 [1분핫뉴스...",SBS언론사 선정,"대한민국 축구 국가대표팀 감독에서 경질돼 거액의 위약금을 챙기게 된 클린스만 전 감독이 외국 언론에 선수 탓을 하고 있고, SNS에서는 한국 축구 계정을 모두 끊은 걸로 나타났습니다. 클린스만 감독은 독일 언론 슈피겔지와의 인터뷰에서 ""경기 측면에서 보면 최고였다""고 자평하며 경질 이유가 자신의 책임...",https://news.sbs.co.kr/news/endPage.do?news_id=N1007540491&plink=ORI&cooper=NAVER
7시간 전,뮌헨이 축협의 구세주가 될까? 클린스만이 새 감독 후보로 거론,스포츠경향,최근 대한축구협회가 경질한 위르겐 클린스만 축구대표팀 감독(60)이 독일 명문 바이에른 뮌헨의 차기사령탑 후보로 거론되고 있다. 토마스 투헬 뮌헨... 축구전문매체 ‘90min’은 지난 17일 현재 무직인 지도자 7명을 뮌헨의 차기 감독 후보군으로 추리면서 클린스만 감독을 1순위로 제시했다. 클린스만 감독...,http://sports.khan.co.kr/news/sk_index.html?art_id=202402181056003&sec_id=520401&pt=nv
21시간 전,클린스만 곧바로 재취업하나? 외신서 뮌헨 감독 후보로 거론,조선일보언론사 선정,부임 1년 만에 경질된 위르겐 클린스만 한국 축구 국가대표팀 전 감독이 독일 명문 바이에른뮌헨의 차기 감독 후보로 거론되고 있다. 영국의 축구 전문 매체 ‘90min’은 16일 성적 부진 등의 이유로 경질이 예상되는 토마스 투헬 뮌헨 감독의 후임 감독 후보군으로 7명을 거론했다. 클린스만 전 감독을...,https://www.chosun.com/international/international_general/2024/02/17/RAR36B76AZCVVE3WMCDED4ZEQE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
6시간 전,"""웃기만 하다 잘렸다"" ""짧고 허망"" 클린스만 경질 언론의 평가는",미디어오늘언론사 선정,부진한 경기력으로 국민적 공분을 불렀던 '아시안컵 4강 탈락' 이후 대한축구협회가 위르겐 클린스만 축구 국가대표팀 감독을 경질하자 주요 일간지도... 지난해 2월 말 부임한 클린스만 감독은 결국 1년을 채우지 못하고 대표팀을 떠나게 됐다. 클린스만 감독은 아시안컵 내내 부진한 경기력으로 비판받았고...,https://www.mediatoday.co.kr/news/articleView.html?idxno=315967
7시간 전,클린스만 '재택근무' 고집한 이유 있었네…국내 체류일 적어 '세금' 덜 낸다,서울경제언론사 선정,위르겐 클린스만 감독이 특유의 원격근무 형태 덕분에 뜻밖의 절세 효과를 볼 것으로 예상된다. 지난 16일 경질된 전 한국 남자축구 대표팀 클린스만 감독은 아시안컵에서 돌아오자마자 지난 10일 가족이 있는 미국으로 출국했다. 이에 그는 지난 15일 열린 대한축구협회 전력강화위원회에 화상미팅으로 약...,https://www.sedaily.com/NewsView/2D5EPF90I6
1일 전,"독일서도 클린스만 경질 공감대…""아시안컵 부진은 일부에 불과""",머니투데이언론사 선정,"독일 매체가 위르겐 클린스만 감독에 대해 아시안컵 부진은 경질 이유의 일부에 불과하다고 지적했다. 독일 매체 '키커'는 17일 ""클린스만 감독은 2026 월드컵까지 한국을 이끌 예정이었지만 1년도 되지 않아 그 자리를 잃었다""고 보도하면서 ""아시안컵 4강에서의 탈락은 문제의 일부일 뿐""이라고 설명했다. 이어...",http://news.mt.co.kr/mtview.php?no=2024021710351069862
8시간 전,"클린스만 후임 선정해야 하는 한국 축구, 소방수 감독 선임 지양해야",오마이뉴스,"제2의 전북-최강희 사태 우려, 정식 감독 선임 우선시할 필요성 느껴야 ▲ 지난 3월 남자 A대표팀의 새 사령탑으로 부임한 위르겐 클린스만 감독. ⓒ 대한축구협회 64년 만에 아시안컵 정상 무대에 도전을 선언했던 전 한국 축구 대표팀 감독 위르겐 클린스만(독일) 감독이 1년이라는 짧은 시간을 채우지 못하고...",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003002928&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
1일 전,"""손흥민·이강인 탓"" 클린스만 변명에…한숨 쉰 김진수, 고개 '푹'",머니투데이언론사 선정,"축구선수 김진수(전북 현대)가 '2023 아시아축구연맹(AFC) 카타르 아시안컵' 실패를 선수 탓으로 돌린 위르겐 클린스만 이야기를 듣고 고개를 푹 숙였다.... 이들이 인터뷰하고 있을 때 클린스만이 대한축구협회(KFA) 회의에서 ""손흥민과 이강인이 다퉈 대표팀 경기력이 떨어졌다""고 말했다는 소식이 전해졌다....",http://news.mt.co.kr/mtview.php?no=2024021623313882477
8시간 전,클린스만호의 수석코치도 내분에 입 열었다 “이런 일은 처음 봤다”,스포츠경향,위르겐 클린스만 전 감독(60)과 함께 경질돼 모국인 오스트리아로 돌아간 그는 지난 17일 오스트리아 매체 ‘크로넨차이퉁’에 기고한 글에서 “중요한... 헤어초크의 발언은 클린스만 감독의 회피성 발언과 맥을 같이 한다. 클린스만 감독은 경질 전 국가대표전력강화위원회에 화상으로 참석한 자리에서...,http://sports.khan.co.kr/news/sk_index.html?art_id=202402180942003&sec_id=520201&pt=nv
1시간 전,클린스만 경질 후폭풍...정몽규 협회장 '사퇴 거부',YTN,"한국 축구 대표팀, 클린스만 감독이 사령탑에서 경질됐지만후폭풍은 여전합니다. 이강인 선수에 대한 비판 여론은 잦아들 줄 모르고 정몽규... 지금 그렇지 않아도 아시안컵 끝난 지 꽤 지났는데 클린스만 감독이 경질 발표가 된 지도 좀 지났는데 계속해서 그렇게 중요한지는 잘 모르겠습니다. 한국 축구 전반의...",https://www.ytn.co.kr/_ln/0107_202402181622421731
10시간 전,"정몽규 4선 도전 시사에 유인촌 장관 ""일을 잘하는 게 문제니까""",연합뉴스언론사 선정,2013년 1월 축구협회장에 올라 세 번째 임기를 보내는 정 회장은 16일 위르겐 클린스만 전 축구 대표팀 감독 경질 발표를 하는 자리에서 4선에 도전할... 축구협회는 클린스만호가 2023 아시아축구연맹(AFC) 카타르 아시안컵에서 졸전을 거듭하다가 요르단에 패하며 준결승 탈락해 거센 비판을 받았다. 여기에...,https://www.yna.co.kr/view/AKR20240217038300007?input=1195m
1일 전,"""천하의 호날두조차…"" 클린스만과 달랐던 '이 사람'[이승환의 노캡]",뉴스1언론사 선정,최근 한국 축구대표팀 감독에서 해임된 위르겐 클린스만(60)도 현역 시절 역대급 독일 공격수로 평가받았다. 1994년 미국 월드컵 당시 '터닝슛'으로 한국팀 골망을 가른 클린스만의 활약은 30년이 지난 지금도 회자하고 있다. 선수시절 명성과 위상만 놓고 보면 그간의 한국 국가대표 감독들 가운데 클린스만을...,https://www.news1.kr/articles/5323656
30분 전,"WC 예선 코앞, 새 사령탑 급선무…‘제2의 클린스만’ 우려도",국민일보,위르겐 클린스만 전 감독 경질로 한국 축구 대표팀의 차기 사령탑을 찾는 게 급선무가 됐다. 당장 한 달 뒤 2026 북중미월드컵 예선전이 예정돼 있다. 감독 선임 시스템이 제대로 작동하지 않으면 ‘제2의 클린스만 사태’가 벌어질 수 있다는 우려도 나온다. 한국은 다음 달 21일과 26일 태국과 2026...,https://www.kmib.co.kr/article/view.asp?arcid=0019807815&code=61161311&cp=nv
2시간 전,클린스만 경질되고도 선수탓… 손·황 나란히 ‘침묵’,국민일보,위르겐 클린스만 전 대표팀 감독에게 ‘역대 최악’이라는 꼬리표는 계속 붙어 다닐 듯 하다. 경질 이후에도 성과를 자화자찬하며 부진은 선수탓을 하는 행태를 보이기 때문이다. 클린스만 전 감독에 이어 안드레아스 헤어초크 전 수석코치까지 거들고 나섰다. 어수선한 분위기에서 ‘코리안 더비’에 출전한...,https://www.kmib.co.kr/article/view.asp?arcid=0019807493&code=61161311&cp=nv
10시간 전,클린스만 경질했지만…뒷맛 찜찜한 정몽규 ‘맹탕’ 기자회견,뉴시스,"대한축구협회가 위르겐 클린스만(독일) 축구대표팀 감독을 경질하며 발등에 떨어진 불을 껐지만 여전히 뒷맛이 찜찜하다. 협회는 지난 16일 종로구 축구회관에서 정몽규 협회장을 비롯해 주요 임원진이 참석한 가운데 임원 회의를 갖고, 클린스만 감독 경질을 결정했다. 64년만의 아시안컵 우승 도전에 실패한...",http://www.newsis.com/view/?id=NISX20240217_0002630135&cID=10503&pID=10500
15분 전,‘위약금 재테크’ 70억에 웃음 짓는 클린스만…한국은 어쩌나,일간스포츠,수많은 논란을 만들어 낸 위르겐 클린스만(독일) 감독이 단 11개월 만에 한국축구대표팀 지휘봉을 내려놓으며 불명예스럽게 퇴진했다. 하지만 막대한 위약금을 받을 그가 이번 사태의 진정한 승리자라는 말이 나오고 있다. 클린스만 감독은 지난 16일 경질당했다. 지난해 그의 선임을 확정한 정몽규...,https://isplus.com/article/view/isp202402180075
